;Gene;RNA;ID;Monomer;ID.1;Process;KO index
961;rpsU;EG10920_RNA;EG10920-MONOMER;Translation;;;926
152;coaA;EG10922_RNA;PANTOTHENATE-KIN-MONOMER;Metabolism;;;928
966;sbmA;EG10928_RNA;SBMA-MONOMER;Metabolism;;;932
967;sbp;EG10929_RNA;SBP-MONOMER;Metabolism;;;933
971;sdaA;EG10930_RNA;LSERINEDEAM1-MONOMER;Metabolism;;;934
974;sdhA;EG10931_RNA;SDH-FLAVO;Metabolism;;;935
975;sdhB;EG10932_RNA;SDH-FE-S;Metabolism;;;936
976;sdhC;EG10933_RNA;SDH-MEMB1;Metabolism;;;937
977;sdhD;EG10934_RNA;SDH-MEMB2;Metabolism;;;938
978;serA;EG10944_RNA;PGLYCDEHYDROG-MONOMER;Metabolism;;;948
979;serB;EG10945_RNA;PSERPHOSPHA-MONOMER;Metabolism;;;949
980;serC;EG10946_RNA;PSERTRANSAM-MONOMER;Metabolism;;;950
981;serS;EG10947_RNA;SERS-MONOMER;Metabolism;;;951
568;maeA;EG10948_RNA;MALIC-NAD-MONOMER;Metabolism;;;952
989;speB;EG10960_RNA;AGMATIN-MONOMER;Metabolism;;;964
990;speC;EG10961_RNA;ORNDECARBOX-BIO-MONOMER;Metabolism;;;965
991;speE;EG10963_RNA;SPERMIDINESYN-MONOMER;Metabolism;;;967
992;speF;EG10964_RNA;ORNDECARBOXDEG-MONOMER;Metabolism;;;968
401;gmk;EG10965_RNA;GUANYL-KIN-MONOMER;Metabolism;;;969
994;spoT;EG10966_RNA;SPOT-MONOMER;Metabolism;;;970
997;srlD;EG10971_RNA;SORB6PDEHYDROG-MONOMER;Metabolism;;;975
423;gutQ;EG10973_RNA;EG10973-MONOMER;Metabolism;;;977
1005;sucA;EG10979_RNA;E1O-MONOMER;Metabolism;;;983
1006;sucB;EG10980_RNA;E2O-MONOMER;Metabolism;;;984
1007;sucC;EG10981_RNA;SUCCCOASYN-BETA;Metabolism;;;985
1008;sucD;EG10982_RNA;SUCCCOASYN-ALPHA;Metabolism;;;986
1010;surA;EG10985_RNA;EG10985-MONOMER;Metabolism;;;989
1016;tdcB;EG10990_RNA;THREDEHYDCAT-MONOMER;Metabolism;;;994
1017;tdcC;EG10991_RNA;TDCC-MONOMER;Metabolism;;;995
1020;tdh;EG10993_RNA;THREODEHYD-MONOMER;Metabolism;;;997
